job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id,collision,collision_pedestrian,collision_vehicle,collision_layout,route_completion,driving_score,success,timeout,route_timeout,scenario_timeout,blocked,route_deviation,frame_count,switch_rate,original_flagged_rate,all_unsafe_rate,mechanism_available
1118,block-0372,Base_OppositeConstruction_0053,OppositeConstruction_053,Base,2,20053,baseline,3,Base_OppositeConstruction_0053__s2__baseline,0.0,0.0,0.0,0.0,100.0,69.092091,1.0,0.0,0.0,0.0,0.0,0.0,1199,0.0,0.0,0.0,1
1119,block-0373,Generalization_ConstructionPermutations_1015,ConstructionPermutations_015,Generalization,2,20015,current_frame,1,Generalization_ConstructionPermutations_1015__s2__current_frame,1.0,0.0,1.0,0.0,100.0,11.933898,0.0,1.0,0.0,1.0,0.0,0.0,6537,0.062413951353832035,0.7836928254551018,0.18923053388404468,1
1120,block-0373,Generalization_ConstructionPermutations_1015,ConstructionPermutations_015,Generalization,2,20015,baseline,2,Generalization_ConstructionPermutations_1015__s2__baseline,1.0,0.0,1.0,0.0,100.0,0.902037,0.0,0.0,0.0,0.0,0.0,0.0,5360,0.0,0.0,0.0,1
1121,block-0373,Generalization_ConstructionPermutations_1015,ConstructionPermutations_015,Generalization,2,20015,temporal,3,Generalization_ConstructionPermutations_1015__s2__temporal,1.0,0.0,1.0,0.0,100.0,21.666124,0.0,1.0,0.0,1.0,0.0,0.0,6019,0.0809104502409038,0.8255524173450739,0.034889516530985216,1
1122,block-0374,Base_RightOfWay_0059,RightOfWay_059,Base,3,30059,baseline,1,Base_RightOfWay_0059__s3__baseline,0.0,0.0,0.0,0.0,100.0,90.652523,1.0,0.0,0.0,0.0,0.0,0.0,1196,0.0,0.0,0.0,1
1123,block-0374,Base_RightOfWay_0059,RightOfWay_059,Base,3,30059,current_frame,2,Base_RightOfWay_0059__s3__current_frame,0.0,0.0,0.0,0.0,100.0,89.887457,1.0,0.0,0.0,0.0,0.0,0.0,1276,0.06974921630094044,0.15125391849529782,0.08150470219435736,1
1124,block-0374,Base_RightOfWay_0059,RightOfWay_059,Base,3,30059,temporal,3,Base_RightOfWay_0059__s3__temporal,0.0,0.0,0.0,0.0,100.0,89.753738,1.0,0.0,0.0,0.0,0.0,0.0,1233,0.07542579075425791,0.09975669099756691,0.024330900243309004,1
1125,block-0375,Base_PedestrianOtherBlocker_0074,PedestrianOtherBlocker_074,Base,2,20074,temporal,1,Base_PedestrianOtherBlocker_0074__s2__temporal,0.0,0.0,0.0,0.0,100.0,72.457392,1.0,0.0,0.0,0.0,0.0,0.0,679,0.0780559646539028,0.12076583210603829,0.042709867452135494,1
1126,block-0375,Base_PedestrianOtherBlocker_0074,PedestrianOtherBlocker_074,Base,2,20074,baseline,2,Base_PedestrianOtherBlocker_0074__s2__baseline,0.0,0.0,0.0,0.0,100.0,74.18951,1.0,0.0,0.0,0.0,0.0,0.0,666,0.0,0.0,0.0,1
1127,block-0375,Base_PedestrianOtherBlocker_0074,PedestrianOtherBlocker_074,Base,2,20074,current_frame,3,Base_PedestrianOtherBlocker_0074__s2__current_frame,0.0,0.0,0.0,0.0,100.0,71.752676,1.0,0.0,0.0,0.0,0.0,0.0,671,0.21609538002980627,0.3025335320417288,0.08643815201192251,1
1128,block-0376,Base_BadParking_0005,BadParking_005,Base,3,30005,baseline,1,Base_BadParking_0005__s3__baseline,1.0,0.0,1.0,0.0,100.0,14.897969,0.0,1.0,0.0,1.0,0.0,0.0,5618,0.0,0.0,0.0,1
1129,block-0376,Base_BadParking_0005,BadParking_005,Base,3,30005,current_frame,2,Base_BadParking_0005__s3__current_frame,1.0,0.0,1.0,0.0,55.43,5.036342,0.0,1.0,1.0,1.0,0.0,0.0,7774,0.014278363776691536,0.9560072034988423,0.24401852328273732,1
1130,block-0376,Base_BadParking_0005,BadParking_005,Base,3,30005,temporal,3,Base_BadParking_0005__s3__temporal,1.0,0.0,1.0,0.0,54.08,4.40706,0.0,1.0,1.0,1.0,0.0,0.0,7731,0.007372914241365929,0.9498124434096494,0.3532531367222869,1
1131,block-0377,Base_BadParking_0006,BadParking_006,Base,3,30006,baseline,1,Base_BadParking_0006__s3__baseline,1.0,0.0,1.0,0.0,100.0,50.209285,0.0,0.0,0.0,0.0,0.0,0.0,1684,0.0,0.0,0.0,1
1132,block-0377,Base_BadParking_0006,BadParking_006,Base,3,30006,temporal,2,Base_BadParking_0006__s3__temporal,0.0,0.0,0.0,0.0,100.0,85.287153,1.0,0.0,0.0,0.0,0.0,0.0,1586,0.362547288776797,0.3720050441361917,0.009457755359394703,1
1133,block-0377,Base_BadParking_0006,BadParking_006,Base,3,30006,current_frame,3,Base_BadParking_0006__s3__current_frame,1.0,0.0,1.0,0.0,100.0,43.91307,0.0,0.0,0.0,0.0,0.0,0.0,3728,0.1665772532188841,0.766362660944206,0.5112660944206009,1
1134,block-0378,Generalization_HardBrake_1035,HardBrake_035,Generalization,1,10035,temporal,1,Generalization_HardBrake_1035__s1__temporal,0.0,0.0,0.0,0.0,100.0,41.263052,1.0,0.0,0.0,0.0,0.0,0.0,2566,0.03585346843335931,0.07326578332034295,0.0362431800467654,1
1135,block-0378,Generalization_HardBrake_1035,HardBrake_035,Generalization,1,10035,baseline,2,Generalization_HardBrake_1035__s1__baseline,0.0,0.0,0.0,0.0,100.0,42.680476,1.0,0.0,0.0,0.0,0.0,0.0,2457,0.0,0.0,0.0,1
1136,block-0378,Generalization_HardBrake_1035,HardBrake_035,Generalization,1,10035,current_frame,3,Generalization_HardBrake_1035__s1__current_frame,0.0,0.0,0.0,0.0,100.0,43.05733,1.0,0.0,0.0,0.0,0.0,0.0,2386,0.09178541492036882,0.14165968147527241,0.0498742665549036,1
1137,block-0379,Base_RightOfWay_0056,RightOfWay_056,Base,1,10056,current_frame,1,Base_RightOfWay_0056__s1__current_frame,0.0,0.0,0.0,0.0,100.0,75.902619,1.0,0.0,0.0,0.0,0.0,0.0,1645,0.0182370820668693,0.07477203647416414,0.056534954407294835,1
1138,block-0379,Base_RightOfWay_0056,RightOfWay_056,Base,1,10056,temporal,2,Base_RightOfWay_0056__s1__temporal,0.0,0.0,0.0,0.0,100.0,76.942271,1.0,0.0,0.0,0.0,0.0,0.0,1630,0.025766871165644172,0.04785276073619632,0.0196319018404908,1
1139,block-0379,Base_RightOfWay_0056,RightOfWay_056,Base,1,10056,baseline,3,Base_RightOfWay_0056__s1__baseline,0.0,0.0,0.0,0.0,100.0,76.525285,1.0,0.0,0.0,0.0,0.0,0.0,1602,0.0,0.0,0.0,1
1140,block-0380,Base_ConstructionPermutations_0016,ConstructionPermutations_016,Base,2,20016,temporal,1,Base_ConstructionPermutations_0016__s2__temporal,1.0,0.0,1.0,0.0,100.0,37.348048,0.0,0.0,0.0,0.0,0.0,0.0,1841,0.20912547528517111,0.28354155350353066,0.06463878326996197,1
1141,block-0380,Base_ConstructionPermutations_0016,ConstructionPermutations_016,Base,2,20016,baseline,2,Base_ConstructionPermutations_0016__s2__baseline,1.0,0.0,1.0,0.0,100.0,37.284804,0.0,0.0,0.0,0.0,0.0,0.0,1838,0.0,0.0,0.0,1
1142,block-0380,Base_ConstructionPermutations_0016,ConstructionPermutations_016,Base,2,20016,current_frame,3,Base_ConstructionPermutations_0016__s2__current_frame,1.0,0.0,1.0,0.0,100.0,14.657578,0.0,1.0,0.0,1.0,0.0,0.0,5817,0.05741791301358088,0.8731304796286746,0.25545813993467426,1
1143,block-0381,Base_Wall_0099,Wall_099,Base,3,30099,baseline,1,Base_Wall_0099__s3__baseline,0.0,0.0,0.0,0.0,100.0,68.81848,1.0,0.0,0.0,0.0,0.0,0.0,974,0.0,0.0,0.0,1
1144,block-0381,Base_Wall_0099,Wall_099,Base,3,30099,current_frame,2,Base_Wall_0099__s3__current_frame,0.0,0.0,0.0,0.0,100.0,70.730028,1.0,0.0,0.0,0.0,0.0,0.0,951,0.2092534174553102,0.28601472134595163,0.07676130389064142,1
1145,block-0381,Base_Wall_0099,Wall_099,Base,3,30099,temporal,3,Base_Wall_0099__s3__temporal,0.0,0.0,0.0,0.0,100.0,68.948881,1.0,0.0,0.0,0.0,0.0,0.0,966,0.06832298136645963,0.08902691511387163,0.020703933747412008,1
1146,block-0382,Generalization_PedestrianCrowd_1067,PedestrianCrowd_067,Generalization,3,30067,baseline,1,Generalization_PedestrianCrowd_1067__s3__baseline,0.0,0.0,0.0,0.0,100.0,53.0775,1.0,0.0,0.0,0.0,0.0,0.0,1011,0.0,0.0,0.0,1
1147,block-0382,Generalization_PedestrianCrowd_1067,PedestrianCrowd_067,Generalization,3,30067,current_frame,2,Generalization_PedestrianCrowd_1067__s3__current_frame,0.0,0.0,0.0,0.0,100.0,53.270494,1.0,0.0,0.0,0.0,0.0,0.0,996,0.06325301204819277,0.1757028112449799,0.11244979919678715,1
1148,block-0382,Generalization_PedestrianCrowd_1067,PedestrianCrowd_067,Generalization,3,30067,temporal,3,Generalization_PedestrianCrowd_1067__s3__temporal,0.0,0.0,0.0,0.0,100.0,54.026151,1.0,0.0,0.0,0.0,0.0,0.0,995,0.13467336683417086,0.16080402010050251,0.02613065326633166,1
1149,block-0383,Generalization_ImageOnObject_1044,ImageOnObject_044,Generalization,3,30044,temporal,1,Generalization_ImageOnObject_1044__s3__temporal,0.0,0.0,0.0,0.0,100.0,67.509827,1.0,0.0,0.0,0.0,0.0,0.0,427,0.09601873536299765,0.1920374707259953,0.09601873536299765,1
1150,block-0383,Generalization_ImageOnObject_1044,ImageOnObject_044,Generalization,3,30044,current_frame,2,Generalization_ImageOnObject_1044__s3__current_frame,0.0,0.0,0.0,0.0,100.0,64.062325,1.0,0.0,0.0,0.0,0.0,0.0,434,0.28110599078341014,0.5092165898617511,0.22811059907834103,1
1151,block-0383,Generalization_ImageOnObject_1044,ImageOnObject_044,Generalization,3,30044,baseline,3,Generalization_ImageOnObject_1044__s3__baseline,0.0,0.0,0.0,0.0,100.0,69.136394,1.0,0.0,0.0,0.0,0.0,0.0,421,0.0,0.0,0.0,1
1152,block-0384,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,1,10089,current_frame,1,Base_PedestriansOnRoad_0089__s1__current_frame,0.0,0.0,0.0,0.0,100.0,70.523541,1.0,0.0,0.0,0.0,0.0,0.0,1482,0.022267206477732792,0.07354925775978408,0.05128205128205128,1
1153,block-0384,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,1,10089,baseline,2,Base_PedestriansOnRoad_0089__s1__baseline,0.0,0.0,0.0,0.0,100.0,69.997544,1.0,0.0,0.0,0.0,0.0,0.0,1514,0.0,0.0,0.0,1
1154,block-0384,Base_PedestriansOnRoad_0089,PedestriansOnRoad_089,Base,1,10089,temporal,3,Base_PedestriansOnRoad_0089__s1__temporal,0.0,0.0,0.0,0.0,100.0,70.431059,1.0,0.0,0.0,0.0,0.0,0.0,1503,0.12375249500998003,0.13572854291417166,0.011976047904191617,1
1155,block-0385,Base_RightConstruction_0092,RightConstruction_092,Base,1,10092,current_frame,1,Base_RightConstruction_0092__s1__current_frame,0.0,0.0,0.0,0.0,100.0,46.312288,1.0,0.0,0.0,0.0,0.0,0.0,860,0.047674418604651166,0.11162790697674418,0.06395348837209303,1
1156,block-0385,Base_RightConstruction_0092,RightConstruction_092,Base,1,10092,temporal,2,Base_RightConstruction_0092__s1__temporal,0.0,0.0,0.0,0.0,100.0,46.20429,1.0,0.0,0.0,0.0,0.0,0.0,865,0.028901734104046242,0.04161849710982659,0.012716763005780347,1
1157,block-0385,Base_RightConstruction_0092,RightConstruction_092,Base,1,10092,baseline,3,Base_RightConstruction_0092__s1__baseline,0.0,0.0,0.0,0.0,100.0,51.123745,1.0,0.0,0.0,0.0,0.0,0.0,827,0.0,0.0,0.0,1
1158,block-0386,Generalization_PassableObstacles_1061,PassableObstacles_061,Generalization,1,10061,temporal,1,Generalization_PassableObstacles_1061__s1__temporal,0.0,0.0,0.0,0.0,100.0,85.423,1.0,0.0,0.0,0.0,0.0,0.0,556,0.15467625899280577,0.15467625899280577,0.0,1
1159,block-0386,Generalization_PassableObstacles_1061,PassableObstacles_061,Generalization,1,10061,current_frame,2,Generalization_PassableObstacles_1061__s1__current_frame,0.0,0.0,0.0,0.0,100.0,85.912,1.0,0.0,0.0,0.0,0.0,0.0,551,0.17785843920145192,0.29764065335753176,0.11978221415607986,1
1160,block-0386,Generalization_PassableObstacles_1061,PassableObstacles_061,Generalization,1,10061,baseline,3,Generalization_PassableObstacles_1061__s1__baseline,0.0,0.0,0.0,0.0,100.0,86.05,1.0,0.0,0.0,0.0,0.0,0.0,550,0.0,0.0,0.0,1
1161,block-0387,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,1,10065,baseline,1,Generalization_PedestrianCrowd_1065__s1__baseline,1.0,0.0,1.0,0.0,100.0,51.547572,0.0,0.0,0.0,0.0,0.0,0.0,737,0.0,0.0,0.0,1
1162,block-0387,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,1,10065,current_frame,2,Generalization_PedestrianCrowd_1065__s1__current_frame,1.0,0.0,1.0,0.0,100.0,46.87241,0.0,0.0,0.0,0.0,0.0,0.0,735,0.1306122448979592,0.24625850340136055,0.11564625850340136,1
1163,block-0387,Generalization_PedestrianCrowd_1065,PedestrianCrowd_065,Generalization,1,10065,temporal,3,Generalization_PedestrianCrowd_1065__s1__temporal,1.0,0.0,1.0,0.0,100.0,50.160732,0.0,0.0,0.0,0.0,0.0,0.0,742,0.1522911051212938,0.18867924528301888,0.03638814016172507,1
1164,block-0388,Base_FullyBlocked_0033,FullyBlocked_033,Base,2,20033,current_frame,1,Base_FullyBlocked_0033__s2__current_frame,0.0,0.0,0.0,0.0,100.0,93.188426,1.0,0.0,0.0,0.0,0.0,0.0,977,0.3193449334698055,0.481064483111566,0.1617195496417605,1
1165,block-0388,Base_FullyBlocked_0033,FullyBlocked_033,Base,2,20033,baseline,2,Base_FullyBlocked_0033__s2__baseline,0.0,0.0,0.0,0.0,100.0,93.108412,1.0,0.0,0.0,0.0,0.0,0.0,974,0.0,0.0,0.0,1
1166,block-0388,Base_FullyBlocked_0033,FullyBlocked_033,Base,2,20033,temporal,3,Base_FullyBlocked_0033__s2__temporal,0.0,0.0,0.0,0.0,100.0,92.756095,1.0,0.0,0.0,0.0,0.0,0.0,978,0.2167689161554192,0.26278118609406953,0.046012269938650305,1
1167,block-0389,Base_Animals_0076,Animals_076,Base,2,20076,temporal,1,Base_Animals_0076__s2__temporal,0.0,0.0,0.0,0.0,100.0,78.625405,1.0,0.0,0.0,0.0,0.0,0.0,1109,0.3345356176735798,0.37330928764652843,0.0387736699729486,1
